Fiscal Year,Department Name,Fund Name,Unit Name,Expenditure Category,Object Name,Actual Expenses,Current Expense Budget
2022,Planning and Community Development,General Fund,Division of Codes Administration,Personnel Services,Employers Contrb Hospitalizatn,300775.3,309724
2022,Zoological Park,General Fund,Zoo,Personnel Services,Semi-Monthly/Monthly,304231.89,324503
2022,Norfolk Community Services Board,Community Services Board,Board Operations,Personnel Services,Semi-Monthly/Monthly,310058.61,283129
2022,Human Resources,General Fund,Director Of Human Resources,Personnel Services,Retirement,311531,311531
2022,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Personnel Services,Employers Contrb Hospitalizatn,313856.83,365142
2022,The Department of Parks & Recreation (P&R),General Fund,Administrative Support,Personnel Services,Semi-Monthly/Monthly,314574.09,290919
2022,Communications and Technology,General Fund,Peoplesoft,Contractual Services,Other Contractual Services,315491.88,462918
2022,Public Works,General Fund,Right of Way,Personnel Services,Semi-Monthly/Monthly,315589.97,279428
2022,Norfolk Community Services Board,Community Services Board,Healthcare Informatics,Contractual Services,Other Contractual Services,317323.64,415623
2022,Water,Water Utility Fund,Division of Water Production,Personnel Services,Social Security Fica Tax,318166.98,365728
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,Personnel Services,Social Security Fica Tax,320607.55,403909
2022,Norfolk Community Services Board,Community Services Board,Mental Health Initiative - Non-CSA,Contractual Services,Other Contractual Services,320724.93,318398
2022,Norfolk Community Services Board,Community Services Board,Community Integration,Personnel Services,Semi-Monthly/Monthly,321488.82,366330
2022,Communications and Technology,General Fund,Information Technology,Contractual Services,Rent Of Land-Bldgs & Offices,322095.16,359713
2022,Planning and Community Development,General Fund,Division of Codes Administration,Personnel Services,Retirement,322257,322257
2022,Libraries,General Fund,Administrative Support,Contractual Services,Rent Of Land-Bldgs & Offices,323376.42,318066
2022,Transportation,General Fund,Right of Way,Personnel Services,Semi-Monthly/Monthly,324080.57,324081
2022,The Department of Parks & Recreation (P&R),General Fund,Special Services,Personnel Services,Semi-Monthly/Monthly,324502.46,630531
2022,Norfolk Community Services Board,Community Services Board,Executive Director's Office,Personnel Services,Semi-Monthly/Monthly,325071.17,298756
2022,Police,General Fund,Administrative Services,Personnel Services,Social Security Fica Tax,326635.99,319364
2022,Libraries,General Fund,Programming Services,Personnel Services,Semi-Monthly/Monthly,327920.06,517256
2022,Commonwealths Attorney,General Fund,Commonwealth Attorney,Personnel Services,Social Security Fica Tax,329884.82,394855
2022,Departmental Support,General Fund,All Purpose Appropriations,Department Specific Appropriation,Equipment Acquisition,330201,2720000
2022,Norfolk Community Services Board,Community Services Board,Emergency Services,Personnel Services,Salary - Special Projects,331491.96,0
2022,Planning and Community Development,General Fund,Planning & Community Developement,Personnel Services,Semi-Monthly/Monthly,331501.06,279409
2022,Waste Management,Waste Management,Waste Management,Personnel Services,Social Security Fica Tax,333743.26,337903
2022,Human Services,General Fund,Social Services,Public Assistance,State Adoption Assistance,333979.26,497631
2022,The Department of Parks & Recreation (P&R),General Fund,Director¿s Office,Personnel Services,Semi-Monthly/Monthly,335725.28,321271
2022,Sheriff,General Fund,Sheriff And Jail,Personnel Services,Temporary/Casual Employment,336093.5,366511
2022,Water,Water Utility Fund,Division Of Account.& Budget,Contractual Services,"Allocations, General/Indirect",336967,336967
2022,Water,Water Utility Fund,Division of Water Production,Personnel Services,Semi-Monthly/Monthly Overtime,339206.77,349100
2022,The National Maritime Center,Maritime Center,Operation & Admin Support,"Materials, Supplies, and Repairs",Electricity,343402.2,336993
2022,Human Services,General Fund,Ysb - Secure Detention,Contractual Services,Other Contractual Services,343502.67,429004
2022,Libraries,General Fund,Branch Operations,Personnel Services,Employers Contrb Hospitalizatn,348013.65,218494
2022,Int Service Fund-Auto Maint,Int Service Fund-Auto Maint,Int Servic Fund-Auto Maint,Personnel Services,Employers Contrb Hospitalizatn,348710.12,396189
2022,Neighborhood Development,General Fund,Director's Office,Contractual Services,Rent Of Land-Bldgs & Offices,352367.1,352367
2022,Parking Facilities Fund,Parking Facilities,Operations,Personnel Services,Retirement,354596,354596
2022,Police,General Fund,Field Operations,Personnel Services,Special Pay & Allowances,354867.18,961730
2022,Parking Facilities Fund,Parking Facilities,Operations,Personnel Services,Employers Contrb Hospitalizatn,355325.94,398755
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,Contractual Services,Depr-Automotive Equipment,356331.71,0
2022,Public Works,General Fund,Bureau Of Design,Personnel Services,Retirement,357220,357220
2022,Public Works,General Fund,Surveys,Personnel Services,Semi-Monthly/Monthly,360801.64,424225
2022,Int Service Fund-Auto Maint,Int Service Fund-Auto Maint,Int Servic Fund-Auto Maint,Contractual Services,Depr-System Account,363551.14,0
2022,Transportation,General Fund,Transportation,Personnel Services,Employers Contrb Hospitalizatn,367635.56,379905
2022,City Attorney,General Fund,City Attorney,Personnel Services,Employers Contrb Hospitalizatn,368499.13,364829
2022,Water,Water Utility Fund,Division of Water Production,Contractual Services,Taxes,375173.22,342000
2022,Finance Department,General Fund,City Controller,Personnel Services,Retirement,376706,376706
2022,Libraries,General Fund,Branch Operations,Personnel Services,Retirement,384637,384637
2022,The Department of Parks & Recreation (P&R),General Fund,Park and Forestry Operations,Contractual Services,Temp Services-Laborer/Industrl,387650.74,629594
2022,Water,Water Utility Fund,Division of Water Production,"Materials, Supplies, and Repairs",Repairs-Buildings,389399.5,800000
2022,Outside Agencies,General Fund,Second Chances,Department Specific Appropriation,All Purpose Appropriations,391500,391500
2022,Fire-Rescue,General Fund,Dept Of Fire - Rescue Services,Personnel Services,Group Life Insurance Perm,392705.11,434780
2022,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Personnel Services,Retirement,393925,393925
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,"Materials, Supplies, and Repairs",Electricity,402418.61,415000
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,"Materials, Supplies, and Repairs",Repairs-Sewers,402956.41,405000
2022,Water,Water Utility Fund,Division of Water Production,Contractual Services,Refuse & Garbage Disposal,409790.41,390000
2022,Water,Water Utility Fund,Division of Water Distribution,Personnel Services,Semi-Monthly/Monthly Overtime,412900.36,280594
2022,Int Service Fund-Auto Maint,Int Service Fund-Auto Maint,Int Servic Fund-Auto Maint,Personnel Services,Retirement,413058,413058
2022,Norfolk Community Services Board,Community Services Board,Intake,Personnel Services,Semi-Monthly/Monthly,414133.96,438666
2022,Police,General Fund,Investigative Services,Personnel Services,Special Pay & Allowances,416443.82,600612
2022,Libraries,General Fund,Branch Operations,Equipment,Equip-Books-Over $1000,417662.12,600000
2022,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,"Materials, Supplies, and Repairs",Electricity,419540.87,591234
2022,Departmental Support,General Fund,Advisory Services,Contractual Services,Consulting Services,425000,425000
2022,Norfolk Community Services Board,Community Services Board,Shelter Plus Care Grant,Public Assistance,Client Exp-Rental Assistance,425414.89,451980
2022,Libraries,General Fund,Administrative Support,Contractual Services,Other Contractual Services,428089.78,484589.72
2022,Norfolk Community Services Board,Community Services Board,Healthcare Informatics,Personnel Services,Semi-Monthly/Monthly,430447.99,435718
2022,Water,Water Utility Fund,Division Of Account.& Budget,Personnel Services,Semi-Monthly/Monthly,430593.36,588618
2022,Transportation,General Fund,Directors Office,Personnel Services,Semi-Monthly/Monthly,442390.72,380871
2022,Communications and Technology,General Fund,Information Technology,Personnel Services,Social Security Fica Tax,445054.75,468080
2022,Emergency Preparedness and Response,EOC-911,Eoc-911,Personnel Services,Employers Contrb Hospitalizatn,446817.42,415895
2022,Fire-Rescue,Gen Fixed Assets Group Of Acct,Fire Equipment,Contractual Services,Depr-System Account,447936.59,0
2022,Human Services,General Fund,Ysb - Secure Detention,Personnel Services,Employers Contrb Hospitalizatn,454296.98,391491
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,Contractual Services,Depr-Office Equipment,457576,0
2022,Outside Agencies,General Fund,Zoo Society - Contingency,Department Specific Appropriation,All Purpose Appropriations,475980,263500
2022,Transportation,General Fund,Transportation,Personnel Services,Retirement,478226,478226
2022,Emergency Preparedness and Response,EOC-911,Eoc-911,Personnel Services,Retirement,480402,480402
2022,Water,Water Utility Fund,Utility Director Office,Personnel Services,Semi-Monthly/Monthly,488138.42,662296
2022,Police,General Fund,Field Operations,Personnel Services,Social Security Fica Tax,493738.21,551931
2022,Finance Department,General Fund,Retirement,Personnel Services,Semi-Monthly/Monthly,496112.38,335311
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,CDI Grant,Indirect Cost,500000,0
2022,Commonwealths Attorney,General Fund,Commonwealth Attorney,Personnel Services,Retirement Expense (Vsrs Emp),509808.91,522107
2022,Human Services,General Fund,Social Services,Equipment,Equip-Software-Over $1000,511881.5,253084
2022,Human Services,General Fund,Ysb - Secure Detention,Personnel Services,Retirement,515884,515884
2022,Communications and Technology,General Fund,Radio and Electronics,Contractual Services,Other Contractual Services,521868.55,584174
2022,Water,Water Utility Fund,Utility Director Office,Contractual Services,Rent Of Land-Bldgs & Offices,521885.11,415903
2022,Neighborhood Development,General Fund,IMPACT Norfolk,Personnel Services,Semi-Monthly/Monthly,535763.48,598031
2022,Parking Facilities Fund,Parking Facilities,Operations,"Materials, Supplies, and Repairs",Electricity,540730.86,715500
2022,Water,Water Utility Fund,Division of Water Distribution,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,541104,541104
2022,Departmental Support,General Fund,Eoc Support,Department Specific Appropriation,All Purpose Appropriations,541320,1437830
2022,Water,Water Utility Fund,Division of Water Distribution,Contractual Services,"Allocations, General/Indirect",541358,541358
2022,The Department of Parks & Recreation (P&R),General Fund,Recreation Centers,Personnel Services,Retirement,544982,544982
2022,Water,Water Utility Fund,Division Of Engineering,Personnel Services,Employers Contrb Hospitalizatn,545110.51,515483
2022,Police,General Fund,Police Administration,Personnel Services,Employers Contrb Hospitalizatn,547032.95,630622
2022,Fire-Rescue,General Fund,Dept Of Fire - Rescue Services,Personnel Services,Social Security Fica Tax,548390.97,629838
2022,Water,Water Utility Fund,Division Of Water Quality,Personnel Services,Semi-Monthly/Monthly,549672.6,554967
2022,Water,Water Utility Fund,Division Of Engineering,Personnel Services,Retirement,550794,550794
2022,Commonwealths Attorney,General Fund,Commonwealth Attorney,Personnel Services,Employers Contrb Hospitalizatn,554196.12,582115
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,Personnel Services,Semi-Monthly/Monthly Overtime,555196.75,500000
